"Song_Title","Band","Album_Name","Year_of_First_Release","Single","Writers","Track_Number","Song_Duration","Record_Label","Key","Mode","Loudness","Tempo","Acousticness","Danceability","Energy","Instrumentalness","Liveness","Speechiness","Valence","Genres","Styles","Moods","Themes","British_Charts","UK_Debut_Date","UK_Peak_Pos","UK_Chart_Weeks","US_100","US_Debut_Date","US_Peak_Pos","US_Chart_Weeks","Year","AUS","CAN","GER","NLD","NZ","SWE","SWI","Certifications"
"Borrowed Time","AC/DC","Backtracks","1988","No","Brian Johnson  Angus Young  Malcolm Young","9","03:45",NA,7,1,-5.549,125.855,0.031,0.534,0.94,0.144,0.0549,0.0632,0.624,NA,NA,NA,NA,"No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Brain Shake","AC/DC","Flick of the Switch","1983","No","Brian Johnson, Angus Young, Malcolm Young","10","04:09","Legacy / Epic",9,1,-3.988,166.176,2.46e-05,0.274,0.961,0.111,0.0843,0.0751,0.574,"Pop/Rock","Album Rock, Aussie Rock, Hard Rock, Heavy Metal, Arena Rock","Rebellious, Aggressive, Boisterous, Outrageous, Playful, Rambunctious, Raucous, Reckless, Rousing, Tough, Brash, Confident, Rowdy, Visceral","Cool & Cocky, Guys Night Out, Partying, TGIF","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Breaking The Rules","AC/DC","For Those About to Rock We Salute You","1981","No","Brian Johnson, Angus Young, Malcolm Young","8","04:23","Epic",2,1,-5.067,126.932,0.000434,0.589,0.875,0.372,0.0652,0.0398,0.479,"Pop/Rock","Album Rock, Aussie Rock, Hard Rock, Heavy Metal, Arena Rock","Rebellious, Aggressive, Boisterous, Outrageous, Playful, Rambunctious, Raucous, Reckless, Rousing, Tough, Brash, Confident, Rowdy, Visceral","Cool & Cocky, Guys Night Out, TGIF","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Burnin' Alive","AC/DC","Ballbreaker","1995","No","Angus Young, Malcolm Young","6","05:05","EastWest",1,0,-6.149,113.187,0.00404,0.632,0.688,0.0867,0.0894,0.0311,0.615,"Pop/Rock","Album Rock, Aussie Rock, Hard Rock, Heavy Metal, Arena Rock","Rebellious, Aggressive, Boisterous, Outrageous, Playful, Rambunctious, Raucous, Reckless, Rousing, Tough, Brash, Confident, Rowdy, Visceral","Cool & Cocky, Feeling Blue, Guys Night Out, Politics/Society, TGIF","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Can I Sit Next To You Girl","AC/DC","High Voltage","1975","Yes","Angus Young, Malcolm Young","6","04:12","Legacy / Epic / Sony Music",8,1,-5.844,134.987,0.0452,0.568,0.746,0.0587,0.0924,0.101,0.467,"Pop/Rock","Album Rock, Aussie Rock, Hard Rock, Heavy Metal, Arena Rock","Rebellious, Aggressive, Boisterous, Outrageous, Playful, Rambunctious, Raucous, Reckless, Rousing, Tough, Brash, Confident, Rowdy, Visceral","Cool & Cocky, Guys Night Out, TGIF","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Can't Stand Still","AC/DC","Stiff Upper Lip","2000","No","Angus Young, Malcolm Young","6","03:41","EastWest",11,1,-4.407,110.116,0.0165,0.602,0.835,0.00246,0.66,0.0258,0.727,"Pop/Rock","Album Rock, Aussie Rock, Hard Rock, Heavy Metal, Arena Rock","Rebellious, Aggressive, Boisterous, Outrageous, Playful, Rambunctious, Raucous, Reckless, Rousing, Tough, Brash, Confident, Rowdy, Visceral","Cool & Cocky, Guys Night Out, TGIF","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Can't Stop Rock 'N' Roll","AC/DC","Stiff Upper Lip","2000","No","Angus Young, Malcolm Young","7","04:02","EastWest",2,1,-4.724,84.98,0.0741,0.447,0.638,0.0169,0.0984,0.0274,0.539,"Pop/Rock","Album Rock, Aussie Rock, Hard Rock, Heavy Metal, Arena Rock","Rebellious, Aggressive, Boisterous, Outrageous, Playful, Rambunctious, Raucous, Reckless, Rousing, Tough, Dramatic, Brash, Confident, Rowdy, Visceral","Cool & Cocky, Guys Night Out, TGIF","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Carry Me Home","AC/DC","Backtracks","1977","No","Bon Scott, Angus Young, Malcolm Young","5","03:57",NA,0,1,-5.443,114.337,0.305,0.424,0.756,0.000707,0.229,0.0472,0.557,NA,NA,NA,NA,"No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Caught With Your Pants Down","AC/DC","Ballbreaker","1995","No","Angus Young, Malcolm Young","9","04:14","EastWest",4,1,-7.345,143.354,0.00782,0.504,0.731,0.00287,0.321,0.0417,0.782,"Pop/Rock","Album Rock, Aussie Rock, Hard Rock, Heavy Metal, Arena Rock","Rebellious, Aggressive, Boisterous, Outrageous, Playful, Rambunctious, Raucous, Reckless, Rousing, Tough, Brash, Confident, Rowdy, Visceral","Cool & Cocky, Freedom, Guys Night Out, In Love, Sex, TGIF","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Chase The Ace","AC/DC","Who Made Who","1986","No","Angus Young, Malcolm Young","8","03:01",NA,9,0,-5.905,144.513,3.53e-05,0.364,0.985,0.801,0.0414,0.0795,0.273,"Pop/Rock","Album Rock, Aussie Rock, Hard Rock, Heavy Metal, Arena Rock","Rebellious, Aggressive, Boisterous, Outrageous, Playful, Rambunctious, Raucous, Reckless, Rousing, Tough, Brash, Confident, Rowdy, Visceral","Cool & Cocky, Guys Night Out, TGIF","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
